;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi MSCI USA Ex Mega Cap UCITS ETF Acc;;;;;
;Codice ISIN;IE000XL4IXU1;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 21/05/2025;43,78 mln USD;;;;;
;Valuta di riferimento;USD;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 21/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;US3635761097;ARTHUR J GALLAGHER & CO;EQUITY;USD; 0.37%;Finanziari;Stati Uniti
;US29444U7000;EQUINIX INC;EQUITY;USD; 0.36%;Immobiliare;Stati Uniti
;US88579Y1010;3M CO;EQUITY;USD; 0.36%;Industrali;Stati Uniti
;US1729081059;CINTAS CORP;EQUITY;USD; 0.35%;Industrali;Stati Uniti
;US8936411003;TRANSDIGM GROUP INC;EQUITY;USD; 0.35%;Industrali;Stati Uniti
;US67103H1077;O REILLY AUTOMOTIVE INC;EQUITY;USD; 0.35%;Beni voluttuari;Stati Uniti
;US8716071076;SYNOPSYS INC;EQUITY;USD; 0.34%;Information Technology;Stati Uniti
;US1266501006;CVS HEALTH CORP;EQUITY;USD; 0.34%;Sanità;Stati Uniti
;US6153691059;MOODY S CORP;EQUITY;USD; 0.34%;Finanziari;Stati Uniti
;US03831W1080;APPLOVIN CORP-CLASS A;EQUITY;USD; 0.33%;Information Technology;Stati Uniti
;US48251W1045;KKR & CO INC;EQUITY;USD; 0.32%;Finanziari;Stati Uniti
;US4523081093;ILLINOIS TOOL WORK;EQUITY;USD; 0.32%;Industrali;Stati Uniti
;US25809K1051;DOORDASH INC - A;EQUITY;USD; 0.32%;Beni voluttuari;Stati Uniti
